Area Name,Area ID,185,14006,26,9150,97,37,42,123,476,468,9636,6014,6080,95,96,3155,3156,10287,46,51,53,3475,15369,3911,17655,9092,9097,9102,13669,3908,10269,3361,10397,200
Eastleigh,E07000086,84%,75%,97%,42%,90%,36%,76%,25%,67%,84%,25%,74%,71%,91%,85%,83%,73%,11%,33%,80%,66%,80%,79%,89%,81%,76%,35%,83%,85%,88%,60%,78%,70%,60%
Fareham,E07000087,96%,76%,63%,61%,68%,67%,44%,25%,73%,96%,25%,74%,91%,95%,78%,83%,73%,9%,22%,61%,71%,89%,85%,97%,81%,11%,50%,45%,94%,68%,61%,85%,70%,95%
Gosport,E07000088,35%,64%,81%,72%,68%,22%,7%,25%,11%,49%,25%,74%,3%,35%,32%,83%,73%,1%,4%,91%,98%,62%,30%,69%,81%,70%,18%,86%,21%,77%,33%,77%,65%,81%
Hart,E07000089,48%,95%,97%,23%,74%,73%,59%,25%,60%,77%,25%,74%,99%,99%,99%,83%,73%,13%,40%,18%,52%,96%,99%,100%,81%,78%,77%,96%,100%,71%,91%,90%,89%,88%
Havant,E07000090,13%,56%,98%,22%,60%,15%,57%,25%,13%,62%,25%,74%,5%,71%,63%,83%,73%,6%,15%,61%,86%,32%,26%,56%,81%,18%,30%,8%,58%,78%,40%,7%,75%,28%
New Forest,E07000091,67%,54%,63%,16%,49%,36%,43%,25%,80%,59%,25%,74%,85%,98%,95%,83%,73%,8%,18%,18%,49%,66%,59%,90%,81%,58%,22%,28%,92%,26%,39%,28%,65%,96%
Rushmoor,E07000092,10%,26%,75%,41%,68%,46%,66%,25%,60%,77%,25%,74%,91%,64%,57%,83%,73%,16%,12%,80%,71%,81%,73%,9%,81%,83%,93%,74%,30%,32%,24%,26%,11%,81%
Test Valley,E07000093,37%,90%,98%,30%,85%,56%,71%,25%,59%,89%,25%,74%,88%,91%,82%,83%,73%,10%,27%,33%,25%,71%,85%,94%,81%,5%,0%,2%,85%,17%,85%,72%,18%,82%
Winchester,E07000094,22%,98%,75%,10%,68%,76%,84%,25%,78%,67%,25%,74%,93%,94%,98%,83%,73%,93%,36%,18%,29%,90%,90%,94%,81%,2%,2%,43%,95%,23%,99%,99%,99%,90%
Broxbourne,E07000095,18%,70%,95%,17%,49%,7%,86%,51%,74%,85%,77%,93%,33%,50%,69%,76%,77%,71%,60%,61%,77%,78%,73%,53%,90%,83%,76%,82%,63%,5%,12%,5%,8%,54%
Dacorum,E07000096,70%,24%,75%,10%,68%,40%,82%,51%,77%,81%,77%,93%,71%,83%,69%,76%,77%,37%,90%,33%,63%,74%,88%,78%,90%,42%,58%,57%,70%,34%,74%,27%,83%,64%
Hertsmere,E07000098,4%,70%,18%,3%,8%,83%,97%,51%,71%,73%,77%,93%,81%,48%,69%,76%,77%,44%,65%,18%,17%,82%,92%,61%,90%,3%,94%,11%,66%,15%,26%,65%,34%,53%
North Hertfordshire,E07000099,86%,15%,81%,28%,34%,94%,67%,51%,89%,90%,77%,93%,63%,83%,74%,76%,77%,18%,93%,33%,52%,93%,90%,80%,90%,55%,72%,52%,88%,61%,83%,92%,66%,94%
Three Rivers,E07000102,100%,96%,84%,5%,68%,68%,87%,51%,91%,95%,77%,93%,93%,84%,77%,76%,77%,17%,100%,11%,27%,81%,97%,83%,90%,66%,10%,74%,81%,38%,73%,80%,80%,78%
Watford,E07000103,72%,89%,63%,9%,29%,86%,93%,51%,22%,56%,77%,93%,85%,44%,38%,76%,77%,3%,83%,80%,83%,54%,78%,51%,90%,13%,5%,2%,35%,19%,22%,27%,40%,29%
Ashford,E07000105,33%,51%,72%,25%,7%,14%,80%,47%,50%,14%,9%,67%,28%,50%,59%,67%,39%,9%,83%,33%,68%,36%,38%,60%,50%,64%,82%,96%,66%,7%,34%,8%,11%,71%
Canterbury,E07000106,13%,74%,22%,19%,99%,37%,28%,47%,24%,10%,9%,67%,93%,47%,53%,67%,39%,12%,37%,80%,86%,46%,44%,60%,50%,61%,84%,20%,31%,30%,77%,28%,29%,72%
Dartford,E07000107,43%,60%,88%,34%,27%,47%,90%,47%,43%,15%,9%,67%,76%,39%,29%,67%,39%,30%,3%,80%,38%,76%,49%,68%,50%,90%,85%,79%,57%,18%,20%,4%,64%,48%
Dover,E07000108,48%,55%,18%,41%,27%,23%,43%,47%,20%,18%,9%,67%,85%,48%,40%,67%,39%,93%,74%,61%,77%,47%,26%,55%,50%,3%,18%,6%,31%,29%,66%,13%,89%,61%
Gravesham,E07000109,86%,27%,84%,25%,27%,14%,78%,47%,43%,15%,9%,67%,21%,42%,48%,67%,39%,15%,64%,80%,63%,59%,25%,53%,50%,0%,9%,36%,53%,86%,69%,10%,18%,23%
Maidstone,E07000110,76%,56%,92%,25%,8%,64%,88%,47%,20%,10%,9%,67%,63%,64%,51%,67%,39%,86%,82%,61%,63%,64%,52%,75%,50%,9%,12%,75%,72%,20%,70%,20%,87%,55%
Sevenoaks,E07000111,70%,50%,56%,19%,47%,72%,81%,47%,92%,47%,9%,67%,96%,95%,74%,67%,39%,12%,25%,11%,24%,94%,75%,90%,50%,91%,58%,90%,90%,32%,63%,23%,99%,86%
Folkestone and Hythe,E07000112,8%,67%,14%,39%,19%,74%,40%,47%,25%,17%,9%,67%,71%,35%,42%,67%,39%,96%,75%,61%,74%,64%,25%,29%,50%,96%,71%,92%,23%,26%,26%,14%,21%,48%
Swale,E07000113,82%,63%,63%,58%,20%,12%,38%,47%,16%,9%,9%,67%,33%,31%,29%,67%,39%,6%,38%,80%,11%,62%,30%,30%,50%,32%,26%,53%,28%,24%,25%,10%,63%,25%
Thanet,E07000114,16%,70%,5%,31%,7%,28%,52%,47%,6%,2%,9%,67%,33%,16%,24%,67%,39%,20%,20%,61%,92%,20%,17%,15%,50%,2%,10%,23%,14%,59%,31%,4%,84%,20%
Tonbridge and Malling,E07000115,8%,88%,88%,28%,19%,26%,83%,47%,88%,47%,9%,67%,88%,71%,78%,67%,39%,43%,85%,33%,25%,87%,74%,83%,50%,30%,78%,84%,84%,27%,75%,70%,97%,89%
Tunbridge Wells,E07000116,89%,95%,75%,14%,40%,80%,82%,47%,84%,56%,9%,67%,93%,86%,80%,67%,39%,98%,73%,18%,86%,85%,81%,82%,50%,70%,88%,63%,82%,64%,96%,92%,94%,76%
Burnley,E07000117,93%,66%,1%,99%,14%,22%,46%,68%,2%,1%,62%,33%,2%,3%,4%,19%,51%,80%,16%,33%,52%,10%,3%,13%,42%,14%,68%,53%,1%,99%,26%,21%,38%,6%
Chorley,E07000118,13%,96%,56%,90%,3%,68%,73%,68%,56%,49%,62%,33%,81%,37%,22%,19%,51%,81%,69%,33%,34%,73%,68%,58%,42%,97%,97%,99%,24%,91%,73%,70%,71%,63%
Fylde,E07000119,24%,52%,2%,72%,3%,43%,56%,68%,90%,62%,62%,33%,85%,58%,42%,19%,51%,90%,68%,11%,17%,55%,70%,69%,42%,78%,12%,25%,55%,97%,10%,28%,35%,28%
Hyndburn,E07000120,2%,80%,3%,99%,0%,1%,20%,68%,7%,10%,62%,33%,21%,6%,8%,19%,51%,20%,23%,33%,44%,9%,4%,13%,42%,26%,92%,20%,5%,100%,21%,62%,7%,9%
Lancaster,E07000121,4%,28%,10%,90%,10%,38%,10%,68%,30%,21%,62%,33%,33%,30%,25%,19%,51%,0%,29%,61%,34%,57%,53%,27%,42%,91%,76%,26%,10%,90%,60%,19%,33%,13%
Pendle,E07000122,7%,82%,5%,91%,3%,1%,60%,68%,30%,29%,62%,33%,6%,20%,15%,19%,51%,4%,15%,18%,60%,0%,0%,12%,42%,45%,14%,10%,10%,99%,13%,91%,16%,22%
Preston,E07000123,93%,72%,1%,91%,20%,41%,76%,68%,15%,16%,62%,33%,21%,8%,5%,19%,51%,39%,12%,61%,38%,12%,17%,11%,42%,97%,92%,92%,4%,94%,35%,5%,26%,2%
Ribble Valley,E07000124,72%,72%,35%,70%,3%,45%,68%,68%,98%,94%,62%,33%,88%,81%,63%,19%,51%,76%,19%,6%,3%,73%,88%,96%,42%,96%,98%,85%,70%,72%,97%,61%,100%,99%
Rossendale,E07000125,82%,87%,5%,90%,3%,48%,48%,68%,45%,29%,62%,33%,28%,19%,11%,19%,51%,40%,18%,18%,38%,32%,25%,21%,42%,6%,35%,47%,15%,83%,79%,65%,61%,24%
South Ribble,E07000126,11%,74%,56%,83%,3%,25%,59%,68%,9%,3%,62%,33%,71%,58%,59%,19%,51%,88%,70%,33%,19%,21%,62%,73%,42%,90%,88%,96%,32%,97%,59%,62%,31%,51%
West Lancashire,E07000127,75%,94%,31%,74%,3%,24%,41%,68%,78%,82%,62%,33%,63%,31%,36%,19%,51%,70%,75%,18%,10%,37%,49%,28%,42%,57%,79%,79%,28%,71%,30%,26%,86%,7%
Wyre,E07000128,33%,95%,97%,88%,3%,57%,32%,68%,63%,55%,62%,33%,63%,18%,27%,19%,51%,10%,66%,18%,20%,36%,46%,52%,42%,99%,88%,98%,19%,94%,26%,23%,68%,49%
Blaby,E07000129,41%,84%,84%,62%,10%,61%,73%,71%,67%,74%,70%,30%,33%,84%,92%,41%,39%,10%,65%,33%,29%,33%,82%,82%,90%,51%,14%,59%,90%,95%,24%,7%,76%,85%
Charnwood,E07000130,16%,73%,88%,62%,85%,53%,21%,71%,28%,30%,70%,30%,40%,64%,57%,41%,39%,79%,61%,61%,60%,35%,80%,72%,90%,78%,82%,66%,68%,83%,87%,9%,95%,64%
Harborough,E07000131,43%,78%,35%,58%,73%,66%,67%,71%,82%,74%,70%,30%,71%,84%,78%,41%,39%,15%,73%,18%,27%,86%,95%,95%,90%,25%,63%,9%,86%,74%,72%,77%,95%,86%
Hinckley and Bosworth,E07000132,82%,68%,81%,70%,74%,14%,31%,71%,55%,51%,70%,30%,28%,71%,57%,41%,39%,18%,68%,33%,36%,54%,80%,80%,90%,55%,65%,43%,61%,84%,16%,21%,24%,72%
Melton,E07000133,75%,73%,72%,21%,56%,9%,34%,71%,49%,28%,70%,30%,85%,75%,74%,41%,39%,47%,63%,18%,36%,0%,87%,90%,90%,58%,65%,94%,80%,25%,68%,17%,63%,99%
North West Leicestershire,E07000134,37%,59%,81%,68%,71%,75%,89%,71%,49%,50%,70%,30%,40%,53%,55%,41%,39%,44%,60%,33%,6%,60%,76%,75%,90%,73%,58%,91%,55%,85%,26%,26%,18%,59%
Oadby and Wigston,E07000135,24%,89%,63%,40%,56%,57%,65%,71%,50%,78%,70%,30%,17%,48%,82%,41%,39%,3%,67%,33%,86%,5%,69%,67%,90%,51%,53%,49%,60%,83%,9%,23%,11%,58%
Boston,E07000136,94%,97%,75%,70%,0%,4%,33%,71%,48%,47%,70%,30%,11%,13%,29%,41%,39%,76%,20%,61%,63%,1%,40%,23%,90%,51%,53%,49%,17%,64%,2%,1%,11%,11%
East Lindsey,E07000137,29%,51%,9%,69%,2%,2%,14%,74%,21%,48%,57%,40%,6%,24%,17%,37%,17%,80%,32%,18%,22%,3%,30%,22%,39%,70%,91%,91%,17%,22%,10%,13%,17%,47%
Lincoln,E07000138,99%,14%,22%,79%,3%,25%,14%,74%,3%,2%,57%,40%,0%,4%,8%,37%,17%,87%,19%,80%,86%,3%,29%,14%,39%,90%,90%,74%,5%,36%,90%,10%,12%,10%
North Kesteven,E07000139,27%,16%,63%,71%,65%,59%,22%,74%,100%,99%,57%,40%,76%,64%,48%,37%,17%,48%,61%,33%,15%,59%,81%,74%,39%,78%,80%,85%,69%,67%,23%,11%,16%,93%
South Holland,E07000140,20%,28%,35%,74%,3%,0%,38%,74%,74%,78%,57%,40%,3%,60%,53%,37%,17%,28%,4%,33%,20%,54%,48%,63%,39%,96%,99%,73%,54%,24%,1%,2%,70%,59%
South Kesteven,E07000141,18%,26%,35%,62%,3%,52%,42%,74%,87%,72%,57%,40%,28%,75%,74%,37%,17%,40%,35%,33%,25%,22%,75%,78%,39%,67%,15%,94%,79%,33%,10%,21%,66%,97%
West Lindsey,E07000142,7%,78%,14%,80%,3%,21%,23%,74%,82%,44%,57%,40%,9%,48%,53%,37%,17%,28%,41%,18%,24%,63%,53%,68%,39%,30%,82%,49%,68%,29%,33%,15%,3%,84%
Breckland,E07000143,13%,51%,63%,41%,90%,6%,11%,59%,60%,68%,20%,21%,2%,56%,69%,41%,46%,67%,30%,33%,27%,9%,46%,65%,48%,95%,85%,94%,68%,15%,22%,3%,95%,75%
Broadland,E07000144,84%,69%,95%,45%,40%,22%,24%,59%,93%,94%,20%,21%,63%,87%,90%,41%,46%,20%,79%,18%,31%,49%,80%,86%,48%,88%,76%,53%,97%,59%,65%,62%,69%,98%
Great Yarmouth,E07000145,27%,19%,14%,71%,53%,2%,19%,59%,3%,6%,20%,21%,6%,26%,40%,41%,46%,7%,8%,61%,77%,17%,28%,16%,48%,14%,12%,61%,13%,64%,4%,2%,9%,29%
King's Lynn and West Norfolk,E07000146,27%,50%,14%,44%,53%,9%,15%,59%,55%,60%,20%,21%,5%,44%,38%,41%,46%,49%,28%,18%,4%,19%,39%,53%,48%,89%,92%,89%,26%,16%,2%,4%,70%,72%
North Norfolk,E07000147,81%,57%,31%,25%,53%,17%,5%,59%,83%,80%,20%,21%,28%,75%,85%,41%,46%,30%,36%,11%,27%,18%,39%,68%,48%,91%,72%,88%,81%,4%,86%,84%,26%,88%
Norwich,E07000148,18%,32%,27%,71%,44%,47%,64%,59%,2%,7%,20%,21%,2%,20%,40%,41%,46%,87%,29%,80%,86%,37%,21%,10%,48%,13%,18%,10%,6%,92%,91%,80%,31%,10%
South Norfolk,E07000149,24%,68%,92%,59%,34%,33%,35%,59%,93%,88%,20%,21%,40%,91%,85%,41%,46%,12%,41%,33%,25%,65%,86%,82%,48%,40%,61%,31%,95%,19%,18%,68%,86%,90%
Craven,E07000163,2%,94%,56%,58%,49%,89%,27%,20%,57%,68%,0%,79%,33%,79%,90%,89%,80%,0%,33%,3%,22%,8%,64%,89%,79%,3%,88%,47%,84%,76%,95%,81%,86%,69%
Hambleton,E07000164,75%,84%,11%,38%,31%,50%,25%,20%,57%,68%,0%,79%,40%,86%,85%,89%,80%,37%,82%,3%,10%,22%,78%,90%,79%,69%,7%,89%,90%,23%,69%,72%,90%,77%
Harrogate,E07000165,85%,76%,18%,36%,98%,80%,60%,20%,57%,68%,0%,79%,71%,80%,92%,89%,80%,39%,60%,6%,19%,69%,92%,90%,79%,33%,87%,87%,73%,60%,96%,29%,92%,77%
Richmondshire,E07000166,8%,92%,18%,39%,49%,67%,12%,20%,57%,68%,0%,79%,11%,86%,51%,89%,80%,97%,30%,11%,15%,8%,76%,90%,79%,38%,8%,31%,77%,9%,93%,29%,98%,95%
Ryedale,E07000167,97%,81%,9%,37%,49%,15%,30%,20%,57%,68%,0%,79%,33%,81%,97%,89%,80%,34%,76%,3%,19%,5%,48%,80%,79%,87%,57%,92%,74%,11%,26%,29%,65%,83%
Scarborough,E07000168,81%,25%,14%,82%,21%,28%,15%,20%,57%,68%,0%,79%,1%,19%,38%,89%,80%,76%,27%,6%,49%,23%,19%,27%,79%,20%,35%,17%,11%,71%,71%,29%,39%,60%
Selby,E07000169,33%,81%,63%,78%,49%,66%,49%,20%,57%,68%,0%,79%,9%,64%,66%,89%,80%,4%,67%,18%,7%,70%,60%,80%,79%,43%,24%,13%,75%,74%,19%,29%,43%,81%
Ashfield,E07000170,41%,53%,81%,85%,15%,8%,13%,56%,47%,20%,62%,61%,11%,24%,15%,35%,12%,24%,24%,61%,57%,11%,36%,27%,56%,78%,17%,52%,20%,85%,37%,61%,21%,53%
Bassetlaw,E07000171,10%,83%,14%,77%,15%,13%,28%,56%,19%,16%,62%,61%,17%,37%,23%,35%,12%,4%,1%,33%,15%,42%,44%,56%,56%,22%,33%,36%,22%,67%,12%,18%,98%,27%
Broxtowe,E07000172,24%,86%,35%,79%,15%,34%,16%,56%,65%,45%,62%,61%,76%,62%,36%,35%,12%,43%,27%,33%,27%,67%,71%,65%,56%,29%,71%,39%,62%,98%,77%,95%,38%,61%
Gedling,E07000173,10%,93%,56%,74%,9%,23%,22%,56%,65%,45%,62%,61%,76%,62%,46%,35%,12%,48%,14%,18%,74%,48%,69%,69%,56%,7%,63%,0%,71%,91%,64%,83%,20%,84%
Mansfield,E07000174,18%,71%,14%,89%,30%,0%,40%,56%,16%,7%,62%,61%,9%,20%,15%,35%,12%,24%,10%,33%,77%,11%,43%,25%,56%,48%,79%,92%,7%,80%,6%,10%,7%,49%
Newark and Sherwood,E07000175,67%,76%,31%,72%,12%,16%,38%,56%,63%,31%,62%,61%,21%,56%,38%,35%,12%,30%,14%,18%,15%,49%,56%,72%,56%,70%,12%,45%,57%,65%,74%,70%,40%,68%
Rushcliffe,E07000176,24%,80%,75%,57%,15%,81%,60%,56%,65%,45%,62%,61%,99%,93%,87%,35%,12%,32%,76%,18%,24%,78%,99%,92%,56%,38%,61%,19%,92%,89%,87%,98%,92%,100%
Cherwell,E07000177,16%,93%,75%,35%,93%,78%,70%,45%,62%,67%,89%,60%,40%,84%,66%,96%,94%,49%,93%,33%,12%,77%,69%,83%,86%,57%,33%,63%,73%,22%,60%,73%,72%,86%
Oxford,E07000178,37%,66%,88%,12%,11%,97%,35%,45%,23%,55%,89%,60%,5%,62%,80%,96%,94%,40%,85%,91%,66%,80%,58%,52%,86%,70%,94%,21%,56%,29%,98%,84%,23%,78%
South Oxfordshire,E07000179,70%,97%,92%,15%,56%,81%,65%,45%,97%,96%,89%,60%,76%,96%,95%,96%,94%,28%,100%,11%,40%,89%,95%,98%,86%,78%,58%,81%,97%,60%,93%,90%,75%,73%
Vale of White Horse,E07000180,90%,14%,93%,27%,56%,85%,60%,45%,96%,87%,89%,60%,40%,97%,94%,96%,94%,1%,99%,33%,31%,83%,93%,99%,86%,73%,39%,39%,96%,39%,82%,92%,70%,68%
West Oxfordshire,E07000181,87%,88%,18%,19%,79%,94%,53%,45%,97%,97%,89%,60%,63%,89%,93%,96%,94%,46%,95%,11%,49%,65%,90%,96%,86%,20%,12%,26%,92%,36%,91%,89%,97%,25%
Mendip,E07000187,20%,71%,63%,26%,59%,70%,45%,94%,70%,52%,18%,17%,21%,79%,77%,59%,66%,16%,78%,61%,24%,24%,66%,72%,54%,78%,82%,66%,82%,32%,81%,29%,97%,48%
Sedgemoor,E07000188,80%,18%,11%,61%,40%,16%,42%,94%,70%,52%,18%,17%,9%,53%,59%,59%,66%,78%,78%,61%,13%,18%,54%,64%,54%,86%,79%,57%,59%,63%,17%,29%,40%,57%
South Somerset,E07000189,27%,23%,31%,61%,91%,43%,11%,94%,70%,52%,18%,17%,40%,73%,87%,59%,66%,72%,78%,61%,43%,45%,65%,76%,54%,69%,89%,89%,79%,24%,58%,29%,26%,22%
Cannock Chase,E07000192,37%,99%,75%,83%,0%,20%,20%,84%,83%,90%,93%,13%,21%,28%,36%,47%,17%,84%,61%,61%,77%,35%,22%,21%,74%,5%,0%,0%,24%,89%,31%,5%,3%,46%
East Staffordshire,E07000193,27%,27%,31%,70%,36%,21%,52%,84%,80%,93%,93%,13%,40%,24%,32%,47%,17%,91%,65%,33%,31%,21%,19%,63%,74%,4%,24%,1%,23%,76%,11%,9%,91%,61%
Lichfield,E07000194,43%,75%,56%,66%,56%,70%,47%,84%,96%,100%,93%,13%,76%,67%,55%,47%,17%,2%,70%,18%,24%,85%,67%,80%,74%,1%,1%,5%,70%,72%,67%,17%,35%,91%
Newcastle-under-Lyme,E07000195,20%,67%,84%,92%,30%,29%,10%,84%,73%,70%,93%,13%,81%,30%,27%,47%,17%,90%,42%,61%,34%,40%,30%,56%,74%,93%,99%,99%,24%,95%,30%,7%,33%,58%
South Staffordshire,E07000196,7%,100%,75%,64%,56%,72%,36%,84%,99%,99%,93%,13%,71%,62%,71%,47%,17%,32%,77%,33%,12%,70%,55%,70%,74%,90%,93%,36%,76%,81%,15%,13%,8%,78%
Stafford,E07000197,90%,90%,27%,73%,97%,89%,21%,84%,91%,90%,93%,13%,85%,60%,69%,47%,17%,25%,82%,33%,20%,60%,55%,86%,74%,45%,5%,70%,65%,61%,78%,21%,61%,69%
Staffordshire Moorlands,E07000198,12%,99%,11%,83%,53%,75%,7%,84%,84%,92%,93%,13%,63%,62%,48%,47%,17%,70%,95%,18%,5%,58%,53%,75%,74%,93%,98%,36%,59%,70%,65%,10%,36%,94%
Tamworth,E07000199,85%,90%,75%,65%,56%,17%,20%,84%,69%,83%,93%,13%,6%,31%,29%,47%,17%,12%,30%,61%,86%,16%,32%,22%,74%,26%,24%,52%,34%,73%,17%,9%,33%,74%
Babergh,E07000200,18%,94%,72%,24%,36%,49%,34%,17%,93%,93%,49%,9%,63%,89%,93%,87%,57%,18%,31%,18%,43%,44%,65%,83%,59%,99%,97%,97%,94%,9%,85%,79%,93%,86%
Ipswich,E07000202,0%,53%,63%,65%,36%,35%,74%,17%,13%,27%,49%,9%,17%,47%,44%,87%,57%,26%,15%,80%,94%,20%,20%,23%,59%,6%,11%,1%,30%,72%,2%,73%,0%,19%
Mid Suffolk,E07000203,20%,84%,81%,31%,36%,43%,30%,17%,97%,100%,49%,9%,11%,87%,85%,87%,57%,16%,31%,33%,34%,43%,81%,86%,59%,84%,35%,82%,93%,7%,61%,82%,89%,89%
Elmbridge,E07000207,90%,72%,72%,3%,93%,98%,93%,90%,96%,80%,2%,88%,96%,99%,97%,93%,96%,84%,90%,6%,44%,98%,100%,94%,95%,70%,35%,70%,98%,69%,93%,87%,35%,96%
Epsom and Ewell,E07000208,20%,80%,75%,3%,21%,88%,75%,90%,74%,80%,2%,88%,88%,95%,98%,93%,96%,71%,88%,18%,92%,82%,99%,95%,95%,36%,42%,14%,100%,63%,87%,70%,65%,95%
Guildford,E07000209,0%,71%,22%,14%,71%,95%,63%,90%,86%,79%,2%,88%,76%,97%,97%,93%,96%,30%,96%,33%,52%,96%,96%,96%,95%,19%,32%,7%,96%,36%,81%,82%,86%,74%
Mole Valley,E07000210,31%,85%,63%,3%,87%,65%,70%,90%,95%,92%,2%,88%,76%,94%,98%,93%,96%,90%,94%,6%,31%,94%,94%,99%,95%,51%,50%,59%,96%,27%,94%,96%,93%,97%
Reigate and Banstead,E07000211,18%,64%,75%,13%,87%,88%,72%,90%,81%,83%,2%,88%,71%,83%,78%,93%,96%,15%,86%,18%,44%,92%,88%,92%,95%,12%,65%,26%,88%,31%,79%,63%,70%,99%
Runnymede,E07000212,12%,73%,27%,14%,87%,92%,73%,90%,77%,45%,2%,88%,91%,79%,78%,93%,96%,39%,79%,61%,20%,88%,82%,82%,95%,99%,100%,95%,75%,11%,72%,18%,16%,94%
Spelthorne,E07000213,4%,97%,56%,20%,87%,20%,79%,90%,72%,50%,2%,88%,40%,71%,66%,93%,96%,38%,72%,61%,66%,95%,79%,86%,95%,18%,20%,82%,87%,12%,26%,24%,77%,62%
Surrey Heath,E07000214,16%,99%,35%,22%,87%,82%,71%,90%,86%,87%,2%,88%,88%,91%,92%,93%,96%,89%,99%,11%,25%,99%,92%,98%,95%,97%,91%,21%,97%,38%,92%,64%,96%,93%
Tandridge,E07000215,87%,96%,72%,10%,87%,76%,83%,90%,92%,49%,2%,88%,91%,81%,87%,93%,96%,25%,98%,6%,27%,93%,90%,97%,95%,70%,48%,92%,94%,25%,89%,86%,78%,68%
Waverley,E07000216,72%,97%,11%,11%,87%,85%,84%,90%,99%,95%,2%,88%,96%,96%,95%,93%,96%,74%,95%,6%,68%,98%,97%,97%,95%,19%,7%,14%,98%,71%,94%,93%,97%,90%
Woking,E07000217,67%,98%,72%,13%,47%,94%,92%,90%,72%,83%,2%,88%,71%,93%,71%,93%,96%,23%,90%,33%,57%,90%,78%,86%,95%,98%,80%,100%,91%,28%,74%,86%,86%,94%
North Warwickshire,E07000218,100%,92%,22%,68%,95%,13%,38%,62%,62%,64%,84%,84%,6%,34%,23%,33%,55%,32%,69%,33%,4%,59%,40%,61%,70%,42%,77%,68%,56%,61%,41%,11%,21%,20%
Nuneaton and Bedworth,E07000219,72%,20%,22%,77%,95%,26%,39%,62%,23%,27%,84%,84%,21%,12%,19%,33%,55%,84%,29%,61%,74%,27%,34%,28%,70%,76%,42%,88%,20%,80%,7%,20%,23%,64%
Rugby,E07000220,95%,67%,11%,65%,95%,85%,78%,62%,64%,80%,84%,84%,63%,53%,57%,33%,55%,20%,69%,33%,2%,72%,82%,75%,70%,90%,94%,39%,53%,61%,58%,64%,66%,24%
Stratford-on-Avon,E07000221,96%,92%,5%,30%,85%,76%,77%,62%,66%,66%,84%,84%,63%,87%,90%,33%,55%,69%,97%,11%,13%,74%,85%,88%,70%,86%,26%,45%,87%,17%,80%,92%,91%,74%
Warwick,E07000222,4%,77%,11%,57%,60%,79%,89%,62%,66%,66%,84%,84%,81%,80%,74%,33%,55%,89%,91%,33%,29%,89%,88%,76%,70%,76%,39%,53%,90%,60%,96%,91%,83%,92%
Adur,E07000223,13%,74%,81%,11%,49%,74%,41%,74%,80%,44%,29%,71%,28%,86%,59%,54%,46%,14%,37%,80%,80%,61%,40%,56%,86%,78%,86%,7%,74%,79%,62%,75%,39%,62%
Arun,E07000224,76%,59%,75%,18%,24%,33%,37%,74%,62%,57%,29%,71%,1%,50%,59%,54%,46%,20%,42%,33%,86%,25%,38%,66%,86%,85%,93%,86%,59%,21%,34%,14%,19%,76%
Chichester,E07000225,35%,52%,95%,6%,49%,71%,66%,74%,81%,61%,29%,71%,2%,75%,80%,54%,46%,32%,66%,11%,44%,43%,58%,88%,86%,0%,0%,3%,86%,15%,94%,68%,79%,79%
Crawley,E07000226,76%,17%,93%,32%,79%,27%,57%,74%,10%,31%,29%,71%,2%,58%,63%,54%,46%,79%,12%,91%,40%,59%,25%,29%,86%,11%,45%,74%,30%,12%,16%,63%,31%,75%
Horsham,E07000227,76%,75%,84%,15%,76%,52%,80%,74%,94%,73%,29%,71%,11%,96%,92%,54%,46%,7%,88%,18%,71%,82%,88%,98%,86%,51%,84%,63%,95%,18%,93%,84%,80%,95%
Mid Sussex,E07000228,29%,70%,63%,16%,79%,90%,80%,74%,98%,97%,29%,71%,63%,91%,85%,54%,46%,20%,40%,33%,74%,81%,94%,97%,86%,94%,92%,63%,99%,68%,96%,80%,91%,92%
Worthing,E07000229,41%,61%,63%,20%,9%,50%,50%,74%,52%,31%,29%,71%,3%,50%,44%,54%,46%,34%,39%,80%,96%,48%,50%,59%,86%,19%,48%,1%,63%,86%,70%,66%,19%,52%
Bromsgrove,E07000234,27%,79%,63%,40%,56%,75%,99%,99%,53%,64%,57%,21%,85%,80%,74%,72%,76%,86%,40%,18%,19%,78%,84%,88%,62%,67%,65%,6%,88%,73%,82%,76%,73%,83%
Malvern Hills,E07000235,94%,78%,18%,29%,14%,87%,46%,99%,53%,64%,57%,21%,33%,84%,59%,72%,76%,4%,42%,18%,31%,58%,56%,81%,62%,42%,15%,90%,89%,10%,28%,84%,80%,97%
Redditch,E07000236,89%,79%,84%,42%,76%,11%,47%,99%,53%,64%,57%,21%,0%,37%,29%,72%,76%,7%,5%,80%,77%,4%,29%,28%,62%,2%,3%,36%,33%,6%,3%,16%,9%,26%
Worcester,E07000237,97%,72%,35%,67%,76%,66%,64%,99%,53%,64%,57%,21%,28%,42%,32%,72%,76%,38%,21%,80%,83%,42%,27%,52%,62%,13%,35%,79%,34%,69%,32%,67%,11%,73%
Wychavon,E07000238,96%,83%,63%,24%,81%,72%,55%,99%,53%,64%,57%,21%,3%,81%,80%,72%,76%,13%,67%,33%,14%,20%,59%,80%,62%,82%,75%,77%,75%,10%,58%,60%,89%,96%
Wyre Forest,E07000239,84%,79%,35%,70%,76%,31%,81%,99%,53%,64%,57%,21%,11%,34%,44%,72%,76%,2%,18%,33%,71%,28%,27%,53%,62%,85%,68%,9%,27%,24%,29%,15%,76%,69%
